Occurred;Answer given;Answer correct;Time;Looking at target
True;False;False;45,80481;False
False;False;True;54,29539;
False;False;True;56,83116;
False;False;True;52,30743;
;;;;
False;False;True;36,1452;
True;False;False;31,38501;True
True;True;True;38,47871;True
True;False;False;22,95594;False
False;False;True;34,60512;
True;False;False;41,27177;True
;;;;
True;True;True;12,6779;True
True;True;True;0,8056107;True
False;False;True;15,19972;
False;False;True;26,84902;
False;False;True;49,31221;
True;True;True;24,05702;True
True;True;True;5,879837;True
;;;;
True;True;True;5,806689;True
True;False;False;19,49092;False
True;False;False;15,0678;False
True;True;True;5,877224;True
False;False;True;21,12302;
False;False;True;25,52266;
False;False;True;23,15587;
False;False;True;21,11205;
False;False;True;18,42825;
True;True;True;10,92325;True
False;False;True;21,201;
False;False;True;15,17091;
;;;;
False;False;True;14,61096;
True;True;True;3,617437;True
True;True;True;17,26045;True
True;True;True;2,345894;True
True;False;False;16,97918;True
True;True;True;4,488594;True
True;False;False;16,6538;False
False;False;True;23,70247;
True;False;False;14,91246;True
False;False;True;18,89795;
True;False;False;15,91602;False
False;False;True;22,07109;
True;False;False;16,2728;False
False;False;True;18,47119;
True;True;True;4,043137;True
False;False;True;18,79793;
False;False;True;19,8699;
True;True;True;2,234375;True
False;False;True;20,89673;
True;True;True;7,169708;True
True;False;False;19,80286;True
True;True;True;12,66745;True
False;True;False;20,51785;
True;True;True;4,021698;True
True;False;False;20,7215;False
True;True;True;14,5098;True
;;;;
