Occurred;Answer given;Answer correct;Time;Looking at target
True;True;True;13,26823;True
True;True;True;4,142839;True
True;True;True;11,66863;True
False;False;True;49,13326;
True;True;True;25,51212;True
False;False;True;27,34466;
False;False;True;24,28302;
;;;;
True;True;True;20,35013;True
False;False;True;25,70331;
False;False;True;31,53109;
False;True;False;20,69622;
False;False;True;26,4833;
True;True;True;44,18497;True
False;False;True;33,10608;
False;False;True;27,43474;
;;;;
False;False;True;24,78434;
False;False;True;20,94714;
False;False;True;20,54269;
False;True;False;31,99198;
False;False;True;39,18262;
False;False;True;34,60297;
True;True;True;31,19676;True
True;True;True;3,068619;True
True;True;True;33,07385;True
False;False;True;31,09528;
False;False;True;37,25003;
True;False;False;28,24774;True
True;True;True;16,59821;True
;;;;
True;True;True;15,87124;True
False;False;True;17,96784;
False;False;True;13,2241;
True;True;True;10,87947;True
True;False;False;16,4081;True
False;False;True;20,79913;
False;False;True;19,8131;
False;False;True;11,42421;
False;False;True;18,29485;
True;True;True;8,500381;True
True;True;True;8,512466;True
True;False;False;18,74348;False
True;True;True;11,57181;True
True;True;True;6,802231;True
True;True;True;9,283585;True
;;;;
False;True;False;9,146735;
False;False;True;8,745712;
False;False;True;13,32603;
True;False;False;14,1185;False
True;True;True;0,8497009;True
False;False;True;19,87067;
True;True;True;2,011147;True
True;True;True;1,406563;True
True;False;False;19,43485;False
True;True;True;11,57015;True
True;True;True;1,832336;True
True;True;True;15,96172;True
False;False;True;15,71457;
True;True;True;4,702072;True
True;False;False;15,79317;False
False;False;True;18,21877;
True;True;True;16,9552;True
False;False;True;19,90466;
;;;;
